[87.10179,-3.04585]
[84.97863,1.72225]
[84.67282,-1.79101]
[86.50918,-3.88809]
[87.56669,-2.56155]
[86.40957,-1.08036]
[87.53829,-3.57121]
[86.08859,-4.23959]
[84.97240,-2.34682]
[84.62804,-4.60303]
[85.55080,-5.02451]
[83.86246,-4.02921]
[82.82562,-1.47641]
[80.95933,0.45515]
[80.63462,0.78678]
[80.35257,-4.07709]
[80.67224,-4.23407]
[81.86958,-3.41289]
[81.23326,-0.84361]
[81.92120,-1.48459]
[81.61365,-3.43359]
[81.67850,-3.45959]
[81.45685,-4.10613]
[81.13852,-3.94685]
[82.37002,-3.49804]
[83.12533,-3.02657]
[82.80710,-0.95834]
[81.71326,-1.96533]
[82.24207,-5.13153]
[84.16634,-4.29695]
[83.55079,-5.03992]
[84.73018,-2.48826]
[85.79290,-1.86379]
[87.14067,-2.38252]
[87.18109,-2.73521]
[86.18225,-4.01859]
[87.85791,-4.89830]
[85.79791,-4.61698]
[84.17572,-3.47216]
[82.94574,-2.65301]
[83.16746,-3.55242]
[84.38271,-3.74734]
[82.39897,-1.33075]
[82.73347,-0.09478]
[84.73924,-1.32274]
[84.91992,-3.80376]
[83.58306,-4.59656]
[85.06290,-4.05055]
[84.82169,-4.08377]
[84.49897,-3.65085]
[84.70536,-3.82546]
[84.49324,-4.26872]
[83.64750,-3.10409]
[83.60262,-2.45132]
[83.48489,-3.06735]
[82.26262,-3.11640]
[80.79034,-2.98870]
[79.44034,-2.84658]
[80.02240,-1.62154]
[79.12089,-2.18756]
[79.44110,-1.35445]
[78.39639,-2.58528]
[77.64117,-1.89551]
[77.10004,-0.46247]
[80.45557,-2.68428]
[81.72892,-4.00155]
[82.67548,-3.54030]
[82.31893,-3.10457]
[82.80562,-1.78412]
[84.99907,-4.16724]
[86.07489,-2.97648]
[87.20491,-4.96051]
[87.72155,-4.15595]
[88.14389,-5.81758]
[88.58846,-6.31487]
[89.29545,-3.44304]
[89.70367,-6.30791]
[88.11987,-5.12297]
[87.57053,-3.67011]
[83.18302,-2.83976]
[80.88328,1.19864]
[80.04308,-0.71186]
[79.66938,-2.86362]
[79.42662,-3.30147]
[84.41291,-3.27102]
[85.27699,-4.01695]
[86.28928,-1.79834]
[87.86372,-3.52869]
[87.40611,-4.15504]
[86.25226,-2.63662]
[85.30414,-2.70150]
[85.11747,-4.01267]
[83.26638,-4.19850]
[82.25071,-5.07626]
[80.67871,-5.03037]
[79.99222,-4.85649]
[78.56523,-2.76142]
[77.96407,-0.74381]
[77.75238,-0.71020]
[77.78089,-0.48857]
[80.07569,-1.61422]
[81.08215,-1.57818]
[81.78154,-2.11119]
[82.75619,-3.15104]
[83.39005,-2.57212]
[82.80357,-3.69837]
[82.20685,-5.09521]
